[2024/01/31 20:50:25] - <__main__.Args object at 0x146cf8b43580>
[2024/01/31 20:50:47] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 20:51:03] - Task was destroyed but it is pending!
task: <Task pending name='Task-1' coro=<Kernel.poll_control_queue() running at /opt/conda/lib/python3.8/site-packages/ipykernel/kernelbase.py:273> wait_for=<Future finished result=<Future at 0x...state=pending>> cb=[_chain_future.<locals>._call_set_state() at /opt/conda/lib/python3.8/asyncio/futures.py:367]>
[2024/01/31 20:51:08] - <__main__.Args object at 0x14a1739e6ee0>
[2024/01/31 20:51:10] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 23:05:22] - 84 	 65.0 	 	 12.2 	 	 0.1000 	 0.8233 	 0.7819 	 1.3939 	 	 0.4663 	 	 0.8590 	 0.7538 	 1.4444 	 	 0.4546
[2024/01/31 23:06:40] - 85 	 65.1 	 	 12.4 	 	 0.1000 	 0.8265 	 0.7801 	 1.3962 	 	 0.4688 	 	 0.8673 	 0.7436 	 1.4150 	 	 0.4745
[2024/01/31 23:07:58] - 86 	 65.7 	 	 12.3 	 	 0.1000 	 0.8242 	 0.7791 	 1.3944 	 	 0.4712 	 	 0.8280 	 0.7507 	 1.4297 	 	 0.4565
[2024/01/31 23:09:16] - 87 	 65.9 	 	 12.3 	 	 0.1000 	 0.8278 	 0.7766 	 1.3974 	 	 0.4655 	 	 0.8362 	 0.7612 	 1.4044 	 	 0.4780
[2024/01/31 23:09:54] - <__main__.Args object at 0x15333c375070>
[2024/01/31 23:09:57] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 23:11:17] - 0 	 67.6 	 	 12.4 	 	 0.1000 	 1.9862 	 0.2714 	 2.1648 	 	 0.1959 	 	 1.7487 	 0.3581 	 1.9838 	 	 0.2614
[2024/01/31 23:12:36] - 1 	 65.8 	 	 12.3 	 	 0.1000 	 1.7064 	 0.3867 	 1.9792 	 	 0.2595 	 	 1.6033 	 0.4545 	 1.8683 	 	 0.2976
[2024/01/31 23:13:53] - 2 	 65.0 	 	 12.3 	 	 0.1000 	 1.5869 	 0.4427 	 1.9043 	 	 0.2846 	 	 1.5554 	 0.4652 	 1.8413 	 	 0.3138
[2024/01/31 23:15:12] - 3 	 65.9 	 	 12.4 	 	 0.1000 	 1.4861 	 0.4863 	 1.8405 	 	 0.3066 	 	 1.3904 	 0.5329 	 1.7351 	 	 0.3498
[2024/01/31 23:16:30] - 4 	 65.2 	 	 12.4 	 	 0.1000 	 1.4055 	 0.5226 	 1.7901 	 	 0.3215 	 	 1.3190 	 0.5322 	 1.7108 	 	 0.3536
